날짜,요일,품목,구분,단위,발주,기초재고,수요,실판매,결품,폐기,기말재고,폐기_kg,탄소_kgCO2e,폐기_비용_원
2021-01-01,금,치킨 토마토 치즈 샌드위치,완제품,개,24,8,18,18,0,14,0,3.15,19.215,42000.0
2021-01-01,금,단호박 에그 샌드위치,완제품,개,18,6,15,15,0,9,0,1.71,5.301,25200.0
2021-01-01,금,크루아상,완제품,개,33,11,24,24,0,20,0,1.2,5.856,30000.0
2021-01-01,금,뉴욕 치즈 케이크,완제품,개,0,8,9,8,1,0,0,0.0,0.0,0.0
2021-01-01,금,그린티 파우더,원재료,g,0,1960,260,260,0,0,1700,0.0,0.0,0.0
2021-01-01,금,모카/초콜릿 소스,원재료,mL,0,1890,540,540,0,0,1350,0.0,0.0,0.0
2021-01-01,금,에스프레소 원두,원재료,g,0,3888,1944,1944,0,0,1944,0.0,0.0,0.0
2021-01-01,금,우유,원재료,mL,0,14320,14100,14100,0,0,220,0.0,0.0,0.0
2021-01-01,금,휘핑크림,원재료,g,0,180,180,180,0,0,0,0.0,0.0,0.0
2021-01-02,토,치킨 토마토 치즈 샌드위치,완제품,개,32,0,21,21,0,11,0,2.475,15.0975,33000.0
2021-01-02,토,단호박 에그 샌드위치,완제품,개,24,0,16,16,0,8,0,1.52,4.712,22400.0
2021-01-02,토,크루아상,완제품,개,44,0,29,29,0,15,0,0.9,4.392,22500.0
2021-01-02,토,뉴욕 치즈 케이크,완제품,개,24,0,10,10,0,0,14,0.0,0.0,0.0
2021-01-02,토,그린티 파우더,원재료,g,0,1700,300,300,0,0,1400,0.0,0.0,0.0
2021-01-02,토,모카/초콜릿 소스,원재료,mL,0,1350,630,630,0,0,720,0.0,0.0,0.0
2021-01-02,토,에스프레소 원두,원재료,g,0,1944,2196,1944,252,0,0,0.0,0.0,0.0
2021-01-02,토,우유,원재료,mL,42700,220,16080,16080,0,0,26840,0.0,0.0,0.0
2021-01-02,토,휘핑크림,원재료,g,500,0,210,210,0,0,290,0.0,0.0,0.0
2021-01-03,일,치킨 토마토 치즈 샌드위치,완제품,개,32,0,20,20,0,12,0,2.7,16.47,36000.0
2021-01-03,일,단호박 에그 샌드위치,완제품,개,24,0,14,14,0,10,0,1.9,5.89,28000.0
2021-01-03,일,크루아상,완제품,개,44,0,25,25,0,19,0,1.14,5.5632,28500.0
2021-01-03,일,뉴욕 치즈 케이크,완제품,개,0,14,10,10,0,0,4,0.0,0.0,0.0
2021-01-03,일,그린티 파우더,원재료,g,0,1400,300,300,0,0,1100,0.0,0.0,0.0
2021-01-03,일,모카/초콜릿 소스,원재료,mL,0,720,570,570,0,0,150,0.0,0.0,0.0
2021-01-03,일,에스프레소 원두,원재료,g,0,0,2016,0,2016,0,0,0.0,0.0,0.0
2021-01-03,일,우유,원재료,mL,0,26840,14720,14720,0,0,12120,0.0,0.0,0.0
2021-01-03,일,휘핑크림,원재료,g,0,290,190,190,0,0,100,0.0,0.0,0.0
2021-01-04,월,치킨 토마토 치즈 샌드위치,완제품,개,32,0,16,16,0,16,0,3.6,21.96,48000.0
2021-01-04,월,단호박 에그 샌드위치,완제품,개,24,0,11,11,0,13,0,2.47,7.657,36400.0
2021-01-04,월,크루아상,완제품,개,44,0,20,20,0,24,0,1.44,7.0272,36000.0
2021-01-04,월,뉴욕 치즈 케이크,완제품,개,20,4,7,7,0,0,17,0.0,0.0,0.0
2021-01-04,월,그린티 파우더,원재료,g,0,1100,220,220,0,0,880,0.0,0.0,0.0
2021-01-04,월,모카/초콜릿 소스,원재료,mL,0,150,420,150,270,0,0,0.0,0.0,0.0
